"Bcell"	"MCL"	"BtoMCL_logFC"	"BtoMCL_adj.P.Val"	"combo.name"
"220213"	"1"	"1"	"-0.356588318"	"1.728846e-20"	"220213"
"1612"	"1"	"1"	" 0.144406101"	"2.249446e-20"	"1612"
"87"	"1"	"1"	" 0.212087837"	"2.440399e-20"	"87"
"221002"	"1"	"1"	" 0.157799213"	"3.802907e-20"	"221002"
"10389"	"1"	"1"	" 0.129861306"	"4.903429e-20"	"10389"
"5376"	"1"	"1"	" 0.184452778"	"6.117298e-20"	"5376"
"3003"	"1"	"1"	" 0.384572081"	"9.798109e-20"	"3003"
"3371"	"1"	"1"	" 0.172356336"	"9.522181e-20"	"3371"
"646450"	"1"	"1"	"-0.133061079"	"1.231489e-19"	"646450"
"146956"	"1"	"1"	" 0.124096374"	"1.283256e-19"	"146956"
"8835"	"1"	"1"	" 0.151329212"	"1.266377e-19"	"8835"
"54953"	"1"	"1"	" 0.086707304"	"1.523847e-19"	"54953"
"101928403"	"1"	"1"	"-0.174048408"	"1.904231e-19"	"101928403"
"64805"	"1"	"1"	"-0.222705584"	"1.987509e-19"	"64805"
"80774"	"1"	"1"	" 0.194750229"	"2.281829e-19"	"80774"
"401152"	"1"	"1"	"-0.130252503"	"2.366827e-19"	"401152"
"220042"	"1"	"1"	" 0.146019625"	"2.412194e-19"	"220042"
"54749"	"1"	"1"	" 0.194806103"	"2.428288e-19"	"54749"
"3162"	"1"	"1"	" 0.292133819"	"2.447177e-19"	"3162"
"1606"	"1"	"1"	" 0.243030295"	"3.379474e-19"	"1606"
"2534"	"1"	"1"	" 0.200066707"	"4.563137e-19"	"2534"
"4082"	"1"	"1"	" 0.203399034"	"5.164763e-19"	"4082"
"10589"	"1"	"1"	" 0.148747285"	"5.233343e-19"	"10589"
"2140"	"1"	"1"	"-0.072151940"	"6.715973e-19"	"2140"
"54874"	"1"	"1"	" 0.291415849"	"6.715973e-19"	"54874"
"147727"	"1"	"1"	"-0.228122896"	"8.764905e-19"	"147727"
"1293"	"1"	"1"	" 0.332634252"	"8.805043e-19"	"1293"
"715"	"1"	"1"	" 0.207057762"	"1.048892e-18"	"715"
"5294"	"1"	"1"	"-0.243978334"	"1.351238e-18"	"5294"
"7293"	"1"	"1"	" 0.148893886"	"1.424135e-18"	"7293"
"92689"	"1"	"1"	" 0.103145546"	"1.809589e-18"	"92689"
"85495"	"1"	"1"	"-0.283569937"	"2.592493e-18"	"85495"
"1295"	"1"	"1"	"-0.121588831"	"2.262292e-18"	"1295"
"64343"	"1"	"1"	" 0.086917263"	"2.497877e-18"	"64343"
"79789"	"1"	"1"	" 0.148030970"	"2.849073e-18"	"79789"
"11140"	"1"	"1"	" 0.117228325"	"3.378583e-18"	"11140"
"8336"	"1"	"1"	"-0.222793850"	"3.941474e-18"	"8336"
"1191"	"1"	"1"	" 0.352776079"	"4.380191e-18"	"1191"
"83479"	"1"	"1"	" 0.101133367"	"4.961278e-18"	"83479"
"7070"	"1"	"1"	" 0.129768700"	"5.861675e-18"	"7070"
"84188"	"1"	"1"	" 0.082076742"	"6.749406e-18"	"84188"
"153129"	"1"	"1"	"-0.141862596"	"8.474840e-18"	"153129"
"929"	"1"	"1"	" 0.213512325"	"8.349034e-18"	"929"
"80179"	"1"	"1"	" 0.073653316"	"8.951861e-18"	"80179"
"55303"	"1"	"1"	" 0.270570982"	"8.680489e-18"	"55303"
"213"	"1"	"1"	"-0.101899533"	"8.955524e-18"	"213"
"101928617"	"1"	"1"	"-0.241603840"	"1.129637e-17"	"101928617"
"335"	"1"	"1"	"-0.082465088"	"1.129637e-17"	"335"
"55658"	"1"	"1"	" 0.121569514"	"1.130412e-17"	"55658"
"474344"	"1"	"1"	" 0.273571749"	"1.029987e-17"	"474344"
"5321"	"1"	"1"	" 0.111496468"	"1.194045e-17"	"5321"
"9536"	"1"	"1"	" 0.089411058"	"1.691623e-17"	"9536"
"5315"	"1"	"1"	" 0.199536463"	"2.019854e-17"	"5315"
"10445"	"1"	"1"	" 0.096970299"	"2.590344e-17"	"10445"
"57552"	"1"	"1"	" 0.193260140"	"2.181614e-17"	"57552"
"7746"	"2"	"1"	" 0.142461027"	"2.534878e-17"	"7746"
"7132"	"1"	"1"	" 0.148120965"	"2.879269e-17"	"7132"
"1209"	"1"	"1"	" 0.120744280"	"3.036576e-17"	"1209"
"26258"	"1"	"1"	"-0.136636221"	"3.204297e-17"	"26258"
"84079"	"1"	"1"	" 0.113400537"	"3.299272e-17"	"84079"
"1404"	"1"	"1"	"-0.044931578"	"2.811552e-17"	"1404"
"54910"	"1"	"1"	" 0.137870331"	"3.445739e-17"	"54910"
"26577"	"1"	"1"	" 0.170187904"	"3.310957e-17"	"26577"
"399664"	"1"	"1"	" 0.147658118"	"3.445739e-17"	"399664"
"63897"	"1"	"1"	" 0.118044263"	"3.871566e-17"	"63897"
"80124"	"1"	"1"	"-0.104272073"	"4.179839e-17"	"80124"
"2013"	"1"	"1"	" 0.129265152"	"4.310920e-17"	"2013"
"149986"	"1"	"1"	" 0.084233067"	"4.265542e-17"	"149986"
"112942"	"1"	"1"	" 0.129341303"	"4.939366e-17"	"112942"
"7127"	"1"	"1"	" 0.119370985"	"5.208447e-17"	"7127"
"58490"	"1"	"1"	"-0.167173202"	"6.642122e-17"	"58490"
"338758"	"1"	"1"	"-0.333444983"	"7.104737e-17"	"338758"
"6884"	"1"	"1"	" 0.129377189"	"5.706240e-17"	"6884"
