"x"
"1"	"4603"
"2"	"7078"
"3"	"6876"
"4"	"10773"
"5"	"9590"
"6"	"84851"
"7"	"27018"
"8"	"6188"
"9"	"5338"
"10"	"3643"
"11"	"10655"
"12"	"101929410"
"13"	"1984"
"14"	"3836"
"15"	"114818"
"16"	"125150"
"17"	"286059"
"18"	"5955"
"19"	"100506428"
"20"	"113235"
"21"	"4678"
"22"	"5359"
"23"	"3189"
"24"	"4097"
"25"	"29887"
"26"	"79413"
"27"	"22880"
"28"	"23016"
"29"	"6314"
"30"	"8622"
"31"	"147463"
"32"	"60681"
"33"	"56951"
"34"	"11333"
"35"	"1643"
"36"	"4049"
"37"	"57666"
"38"	"51571"
"39"	"8794"
"40"	"56101"
"41"	"147699"
"42"	"221927"
"43"	"91860"
"44"	"191"
"45"	"25902"
"46"	"84553"
"47"	"403313"
