"Bcell"	"MCLe"	"df"	"combo.name"
"5294"	"1"	"1"	"4.064715e-08"	"5294"
"7293"	"1"	"1"	"2.760297e-02"	"7293"
"92689"	"1"	"1"	"6.698171e-05"	"92689"
"85495"	"1"	"1"	"1.272841e-12"	"85495"
"1295"	"1"	"1"	"5.975659e-02"	"1295"
"64343"	"1"	"1"	"2.137980e-04"	"64343"
"79789"	"1"	"1"	"1.641000e-14"	"79789"
"11140"	"1"	"1"	"6.608462e-09"	"11140"
"8336"	"1"	"1"	"5.041462e-16"	"8336"
"1191"	"1"	"1"	"7.498558e-02"	"1191"
"83479"	"1"	"1"	"2.821725e-05"	"83479"
"7070"	"1"	"1"	"2.052551e-01"	"7070"
"84188"	"1"	"1"	"1.090953e-06"	"84188"
"153129"	"1"	"1"	"2.663186e-06"	"153129"
"929"	"1"	"1"	"1.355117e-01"	"929"
"80179"	"1"	"1"	"1.172750e-09"	"80179"
"55303"	"1"	"1"	"4.169713e-01"	"55303"
"213"	"1"	"1"	"1.836711e-03"	"213"
"101928617"	"1"	"1"	"2.061839e-04"	"101928617"
"335"	"1"	"1"	"6.640563e-02"	"335"
"55658"	"1"	"1"	"2.434290e-16"	"55658"
"474344"	"1"	"1"	"3.825307e-01"	"474344"
"5321"	"1"	"1"	"3.983979e-07"	"5321"
"9536"	"1"	"1"	"2.570443e-06"	"9536"
"5315"	"1"	"1"	"9.379094e-10"	"5315"
"10445"	"1"	"1"	"7.192274e-15"	"10445"
"57552"	"1"	"1"	"3.913583e-04"	"57552"
"7746"	"1"	"1"	"3.506645e-04"	"7746"
"7132"	"1"	"1"	"1.769832e-01"	"7132"
"1209"	"1"	"1"	"1.523551e-07"	"1209"
"26258"	"1"	"1"	"1.749952e-07"	"26258"
"84079"	"1"	"1"	"5.663751e-04"	"84079"
"1404"	"1"	"1"	"7.589541e-07"	"1404"
"54910"	"1"	"1"	"3.902663e-01"	"54910"
"26577"	"1"	"1"	"4.348176e-03"	"26577"
"399664"	"1"	"1"	"2.014373e-02"	"399664"
"63897"	"1"	"1"	"6.498611e-13"	"63897"
"80124"	"1"	"1"	"3.439143e-04"	"80124"
"2013"	"1"	"1"	"8.087573e-03"	"2013"
"149986"	"1"	"1"	"2.514196e-03"	"149986"
"112942"	"1"	"1"	"4.558418e-07"	"112942"
"7127"	"1"	"1"	"1.616490e-02"	"7127"
"58490"	"1"	"1"	"6.885544e-22"	"58490"
"338758"	"1"	"1"	"6.780846e-08"	"338758"
"6884"	"1"	"1"	"6.341827e-06"	"6884"
"157983"	"1"	"1"	"1.995495e-06"	"157983"
"3631"	"1"	"1"	"3.536789e-06"	"3631"
"7561"	"1"	"1"	"1.288622e-03"	"7561"
"24147"	"1"	"1"	"3.902321e-04"	"24147"
"2669"	"1"	"1"	"3.719764e-03"	"2669"
"793"	"1"	"1"	"2.732109e-04"	"793"
"2"	"1"	"1"	"3.970958e-01"	"2"
"996"	"1"	"1"	"1.566243e-07"	"996"
"2199"	"1"	"1"	"3.173069e-11"	"2199"
"26065"	"1"	"1"	"3.009458e-05"	"26065"
"5300"	"1"	"1"	"4.049012e-14"	"5300"
"950"	"1"	"1"	"6.937500e-03"	"950"
"100499177"	"1"	"1"	"2.381328e-04"	"100499177"
"8347"	"1"	"1"	"4.843088e-12"	"8347"
"266655"	"1"	"1"	"1.465564e-02"	"266655"
"8745"	"1"	"1"	"3.382883e-09"	"8745"
"4247"	"1"	"1"	"2.822970e-05"	"4247"
"55596"	"1"	"1"	"3.299917e-07"	"55596"
"5950"	"1"	"1"	"4.073119e-03"	"5950"
"55605"	"1"	"1"	"1.019303e-01"	"55605"
"64978"	"1"	"1"	"3.241515e-12"	"64978"
"55534"	"1"	"1"	"2.024423e-16"	"55534"
"3337"	"1"	"1"	"7.330011e-15"	"3337"
"152831"	"1"	"1"	"1.564447e-08"	"152831"
"64118"	"1"	"1"	"5.796822e-07"	"64118"
"4026"	"1"	"1"	"1.293240e-07"	"4026"
"374618"	"1"	"1"	"9.321894e-18"	"374618"
"147463"	"1"	"2"	"2.355316e-02"	"147463"
"57801"	"1"	"1"	"3.798666e-01"	"57801"
"84247"	"1"	"1"	"3.524026e-08"	"84247"
"5199"	"1"	"1"	"1.515438e-02"	"5199"
"1728"	"1"	"1"	"6.875406e-12"	"1728"
"10040"	"1"	"1"	"4.016260e-01"	"10040"
"127396"	"1"	"1"	"6.814192e-09"	"127396"
"64761"	"1"	"1"	"3.115868e-13"	"64761"
"800"	"1"	"1"	"4.744429e-01"	"800"
"921"	"1"	"1"	"2.462226e-11"	"921"
"55552"	"1"	"1"	"9.126064e-04"	"55552"
"29978"	"1"	"1"	"4.475030e-06"	"29978"
"93643"	"1"	"1"	"9.760874e-05"	"93643"
"1173"	"1"	"1"	"2.077774e-16"	"1173"
"5551"	"1"	"1"	"6.232323e-03"	"5551"
"55785"	"1"	"1"	"2.625571e-19"	"55785"
"7091"	"1"	"1"	"1.006395e-02"	"7091"
"50861"	"1"	"1"	"1.065440e-16"	"50861"
"3485"	"1"	"1"	"1.414282e-01"	"3485"
"4839"	"1"	"1"	"3.337136e-06"	"4839"
"387496"	"1"	"1"	"4.201049e-15"	"387496"
"2207"	"1"	"1"	"1.781930e-01"	"2207"
"8558"	"1"	"1"	"2.881521e-07"	"8558"
"119395"	"1"	"1"	"9.413385e-04"	"119395"
"29920"	"1"	"1"	"1.732430e-07"	"29920"
"255119"	"1"	"1"	"9.174408e-08"	"255119"
"51421"	"1"	"1"	"3.799636e-01"	"51421"
"9143"	"1"	"1"	"2.805430e-16"	"9143"
"1488"	"1"	"1"	"3.696708e-05"	"1488"
"8368"	"1"	"1"	"4.194153e-09"	"8368"
"1198"	"1"	"1"	"2.064468e-06"	"1198"
"925"	"1"	"1"	"2.066058e-01"	"925"
"2770"	"1"	"1"	"1.205242e-01"	"2770"
"2296"	"1"	"1"	"1.485514e-01"	"2296"
"92737"	"1"	"1"	"5.164610e-08"	"92737"
"254295"	"1"	"1"	"9.203915e-13"	"254295"
"26099"	"1"	"1"	"4.577721e-08"	"26099"
"9454"	"1"	"1"	"1.288792e-07"	"9454"
"4921"	"1"	"1"	"1.144907e-02"	"4921"
"124152"	"1"	"1"	"9.248579e-02"	"124152"
"3575"	"1"	"1"	"4.320311e-02"	"3575"
"54187"	"1"	"1"	"7.521050e-18"	"54187"
"134553"	"1"	"1"	"3.166141e-02"	"134553"
"7026"	"1"	"1"	"1.160752e-02"	"7026"
"84803"	"1"	"1"	"5.779154e-06"	"84803"
"23530"	"1"	"1"	"7.699270e-03"	"23530"
"83451"	"1"	"1"	"4.553131e-12"	"83451"
"8360"	"1"	"1"	"3.254551e-14"	"8360"
"9294"	"1"	"1"	"8.616095e-18"	"9294"
"9789"	"1"	"1"	"8.340766e-06"	"9789"
"8351"	"1"	"1"	"3.977195e-11"	"8351"
"84270"	"1"	"1"	"6.526147e-14"	"84270"
"55166"	"1"	"1"	"1.015107e-06"	"55166"
"647946"	"1"	"1"	"3.306622e-06"	"647946"
"60681"	"2"	"1"	"1.582067e-02"	"60681"
"3429"	"1"	"1"	"4.100510e-01"	"3429"
"116461"	"1"	"1"	"6.957359e-04"	"116461"
"728568"	"1"	"1"	"6.117836e-06"	"728568"
"79862"	"1"	"1"	"3.571566e-02"	"79862"
"79971"	"1"	"1"	"3.945331e-01"	"79971"
"1834"	"1"	"1"	"2.394438e-07"	"1834"
"9242"	"1"	"1"	"3.423077e-01"	"9242"
"10857"	"1"	"1"	"3.439881e-08"	"10857"
"9749"	"1"	"1"	"2.680506e-06"	"9749"
"79873"	"1"	"1"	"4.312456e-09"	"79873"
"7078"	"2"	"1"	"3.112903e-01"	"7078"
"8342"	"1"	"1"	"7.298473e-13"	"8342"
"50650"	"1"	"1"	"2.190883e-15"	"50650"
"89932"	"1"	"1"	"6.542797e-02"	"89932"
"7637"	"1"	"1"	"5.810512e-07"	"7637"
"10253"	"1"	"1"	"2.842382e-13"	"10253"
"25924"	"1"	"1"	"1.013458e-17"	"25924"
